Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual Output (v1.0)),Custom field (Actual Output (v1.1)),Custom field (Development),Custom field (Expected Output),Custom field (Expected outcome),Custom field (Function Being Tested),Custom field (Initial System State),Custom field (Input),Custom field (Issue color),Custom field (Minh),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Test case),Custom field (Vulnerability),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Balance Inquiry: Cash dispensed on balance inquiry of savings account,CRM-50,10177,Bug,Open,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,28/Jan/26 10:21 PM,28/Jan/26 10:23 PM,06/Feb/26 12:17 PM,,,0,"Using card 1, which only has checking and savings, if savings is chosen for balance inquiry, ATM first shows unknown error, then dispenses cash ($500). Receipt shows savings balance with no change to balance when cash is dispensed. Dispensed cash is shown in log.

*Function being tested:*

Balance Inquiry

*Initial state of the system:*

System is displaying menu of account types

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42
# Choose transaction type as Balance Inquiry
# Choose savings account (valid account for this card)

*Expected outcome:*

ATM displays balance for savings account.

*Actual outcome:*

ATM shows balance for savings account. 

Cash is dispensed (500$). Balance does not change for any account when cash is dispensed.

*Priority of the bug:*

Highest

*Version of the app:*

1.1

*ATM Log*
Message:   INQUIRY  CARD# 1 TRANS# 1 FROM  1 NO TO NO AMOUNT
Response:  SUCCESS
Dispensed: $500.00

!image-20260129-052302.png|width=486,alt=""image-20260129-052302.png""!",,Minh Le,,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,,,,,,,,,,28/Jan/26 10:23 PM;bfb075ec-10e9-4ed5-8a3e-5271c35ff79d;image-20260129-052302.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10108,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,To Do,28/Jan/26 10:21 PM
Balance Inquiry: Not showing balance for Money Market account,CRM-48,10143,Bug,Resolved,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,High,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,27/Jan/26 10:12 PM,28/Jan/26 9:29 PM,28/Jan/26 9:39 PM,28/Jan/26 9:29 PM,,0,"*Function being tested:*

Balance Inquiry function in Card 2

*Initial state of the system:*

User selects Balance Inquiry option from main menu.

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 2 with PIN 1234
# Choose Balance Inquiry
# Then choose Money Market account

*Expected outcome:*

ATM displays balance money for Money Market account

*Actual outcome:*

It prints “Invalid account type”

*Priority of the bug:*

High

*Version of the app:*

1.0",,Minh Le,,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,Done,28/Jan/26 9:29 PM
Transfer: Incorrect transfer amount money for both cards,CRM-47,10142,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,High,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,27/Jan/26 10:09 PM,29/Jan/26 7:30 PM,28/Jan/26 9:39 PM,28/Jan/26 9:38 PM,,0,"*Function being tested:*

Transfer function in Card 1 and Card 2

*Initial state of the system:*

User selects Transfer option from main menu.

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42 or card 2 with PIN 1234
# Choose Transfer

*Expected outcome:*

Card 1: ATM displays account Checking and Savings accounts

Card 2: ATM displays account Checking and Money Market accounts

*Actual outcome:*

In both cards, ATM shows Checking, Saving and Money Market accounts

*Priority of the bug:*

High

*Version of the app:*

1.0

Note: Defect still exists in version 1.1",,Minh Le,Thanoshan MV,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,6003fc78c22477006872ac2b,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,,,29/Jan/26 7:30 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,28/Jan/26 9:38 PM
Deposit: Additional account for Card 1,CRM-46,10141,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Highest,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,27/Jan/26 9:57 PM,29/Jan/26 7:30 PM,28/Jan/26 9:39 PM,28/Jan/26 9:40 PM,,0,"*Function being tested:*

Deposit accounts in Card 1

*Initial state of the system:*

User selects Deposit option from main menu.

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42 
# Choose Deposit

*Expected outcome:*

ATM displays account Checking and Savings accounts

*Actual outcome:*

ATM shows Checking, Saving and Money Market accounts

*Priority of the bug:*

Highest

*Version of the app:*

1.0

*Note*: Defect still exists in version 1.1",,Minh Le,Thanoshan MV,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,6003fc78c22477006872ac2b,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,29/Jan/26 7:30 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,28/Jan/26 9:40 PM
Withdrawal: System doesn't verify that it has sufficient cash on hand to fulfill the request,CRM-45,10140,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Highest,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,27/Jan/26 9:37 PM,29/Jan/26 7:30 PM,29/Jan/26 12:37 PM,28/Jan/26 9:41 PM,,0,"MFT

*Function being tested:*

Withdrawal

System verifies that it has sufficient cash on hand to fulfill the request

*Initial state of the system:*

System has been started up with less than the maximum withdrawal amount in cash on hand

System is requesting a withdrawal amount

*Steps to reproduce:*

* ATM is ON
* Insert card 1 with PIN 42
* Choose withdrawal with Checking account
* Choose option 6, which is not in the display

*Expected outcome:*

* System displays an appropriate message and asks customer to choose a different amount

*Actual outcome:*

* GUI freezed for 10 seconds and Deduct $20 showing in log

*Priority of the bug:*

Highest

*Version of the app:*

1.0

*Note*: Defect still exists in version 1.1",,Minh Le,Thanoshan MV,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,6003fc78c22477006872ac2b,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,29/Jan/26 7:30 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,28/Jan/26 9:41 PM
Balance Inquiry: Cash dispensed on balance inquiry for invalid account type,CRM-37,10100,Bug,Resolved,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Highest,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,26/Jan/26 5:14 PM,28/Jan/26 9:45 PM,28/Jan/26 9:44 PM,28/Jan/26 9:45 PM,,0,"*Function being tested:*

Using card 1, which only has checking and savings, if money market is chosen for balance inquiry, ATM first shows unknown error, then dispenses cash ($500). Receipt shows savings balance with no change to balance when cash is dispensed. Dispensed cash is shown in log.

Balance Inquiry

*Initial state of the system:*

System is displaying menu of account types

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42
# Choose transaction type as Balance Inquiry
# Choose account as Money Market (invalid account for this card)

*Expected outcome:*

ATM displays invalid account if money market is selected for card 1

*Actual outcome:*

ATM shows balance for savings account on receipt when money market is selected. 

Cash is dispensed when checking balance. 

Balance does not change for any account when cash is dispensed.

*Priority of the bug:*

Highest

*Version of the app:*

1.0

!image-20260127-002135.png|width=512,alt=""image-20260127-002135.png""!

Note: in 1.1, the message invalid card shows in Log (the bug is fixed)",,Minh Le,,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,,,,,,,,,,26/Jan/26 5:21 PM;bfb075ec-10e9-4ed5-8a3e-5271c35ff79d;image-20260127-002135.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10039,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,Done,28/Jan/26 9:45 PM
Balance Inquiry: Wrong account for Card 1,CRM-35,10098,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Highest,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,26/Jan/26 5:03 PM,29/Jan/26 7:29 PM,28/Jan/26 9:45 PM,28/Jan/26 9:46 PM,,0,"*Function being tested:*

Savings Account Not Shown in Balance Inquiry in card 1

*Initial state of the system:*

User selects Balance Inquiry from main menu.

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42 
# Choose Balance Inquiry

*Expected outcome:*

ATM displays account Checking and Savings accounts

*Actual outcome:*

ATM shows Checking and Money Market accounts

*Priority of the bug:*

Highest

*Version of the app:*

1.0

*Note*: Bug is still in 1.1",,Minh Le,Thanoshan MV,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,6003fc78c22477006872ac2b,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,29/Jan/26 7:29 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,28/Jan/26 9:46 PM
Balance Inquiry: Money Market account shown as Invalid Account Type in card 2,CRM-34,10097,Bug,Resolved,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,High,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,26/Jan/26 4:59 PM,28/Jan/26 9:47 PM,28/Jan/26 9:46 PM,28/Jan/26 9:47 PM,,0,"*Function being tested:*

Balance Inquiry

In card 2, during balance enquiry, Money Market is shown as an Invalid Account Type although it is a valid account

*Initial state of the system:*

User with card 2 selects Money Market from Balance Inquiry menu.

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 2 and enter the PIN as 1234 
# Choose Balance Inquiry
# Choose Money Market

*Expected outcome:*

ATM displays receipt of Money Market balance

*Actual outcome:*

ATM displays message that it is invalid account.

!image-20260127-000025.png|width=600,alt=""image-20260127-000025.png""!

*Priority of the bug:*

High

*Version of the app:*

1.0",,Minh Le,,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,,,,,,,,,,26/Jan/26 5:00 PM;bfb075ec-10e9-4ed5-8a3e-5271c35ff79d;image-20260127-000025.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10037,,,,,,,,,,,,,0|i00047:,,,,,,,,,,Done,28/Jan/26 9:47 PM
Transfer: Incorrect amount of Money Display in Transfer Receipt,CRM-31,10094,Bug,Resolved,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,Medium,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,26/Jan/26 4:32 PM,28/Jan/26 10:01 PM,28/Jan/26 10:00 PM,28/Jan/26 10:01 PM,,0,"*Function being tested:*

Transfer money

*Initial state of the system:*

ATM is ON

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills
# Insert card 1 and enter the PIN as 42 
# Choose Transfer
# Choose Savings for From
# Choose Checking for To
# Enter $1.00 as amount

*Expected outcome:*

ATM receipt shows from savings to checking of $1.00

*Actual outcome:*

ATM receipt shows from checking to savings of $0.50

*Priority of the bug:*

Medium

*Version of the app:*

1.0

!image-20260126-233348.png|width=262,alt=""image-20260126-233348.png""!",,Minh Le,,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,,,,,,,,,,26/Jan/26 4:34 PM;bfb075ec-10e9-4ed5-8a3e-5271c35ff79d;image-20260126-233348.png;https://seng-637.atlassian.net/rest/api/3/attachment/content/10036,,,,,,,,,,,,,0|i0003j:,,,,,,,,,,Done,28/Jan/26 10:01 PM
Authentication: No limit on PIN length,CRM-28,10091,Bug,In Progress,CRM,SENG 637,software,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Your first project,High,Done,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,Minh Le,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,26/Jan/26 4:21 PM,29/Jan/26 7:29 PM,28/Jan/26 10:01 PM,28/Jan/26 10:12 PM,,0,"*Function being tested:*

Session

No limit on PIN length; any large number causes the GUI to freeze

*Initial state of the system:*

System has just been turned ON.

*Steps to reproduce:*

# Turn on ATM, and insert valid number of bills.
# Insert a Card, and enter a long value for PIN

*Expected outcome:*

A Failure Message saying ""Invalid Card/PIN""

*Actual outcome:*

The GUI freezes

*Priority of the bug:*

High

*Version of the app:*

1.0

Note: Bug is still in version 1.1",,Minh Le,Thanoshan MV,712020:bd10c212-a02c-4ab9-b74f-40abbe02de8d,6003fc78c22477006872ac2b,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,29/Jan/26 7:29 PM;6003fc78c22477006872ac2b;Regression testing: Defect still exists in version 1.1,,,,,Done,28/Jan/26 10:12 PM
